Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action
1,0.9833331,1.000004,0,0.4999995,-1.599998,0,-4.032001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,7,6,6.83333,-0.6272725,-2.043503,-9,0.47,-1.96,5,1
1,1.016666,0.9000034,0,0.4999995,-1.499998,0,-4.032001,1.5,-0.04000002,1.69,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,6,6.73333,-0.6272725,-2.043503,-9,0.47,-1.96,5,1
1,1.033333,0.8000031,0,0.4999995,-1.399998,0,-4.032001,1.5,-0.04000002,1.75,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.033324,-0.6272725,3.043501,-9,0.47,-1.96,5,1
1,1.05,0.7000027,0,0.4999995,-1.299997,0,-4.032001,1.5,-0.04000002,1.81,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.133325,-0.6272725,3.043501,-9,0.47,-1.96,5,1
1,1.066666,0.6000023,0,0.4999995,-1.199997,0,-4.032001,1.5,-0.04000002,1.87,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.233325,-0.6272725,3.043501,-9,0.47,-1.96,5,1
1,1.183333,0.5000019,0,0.4999995,-1.099997,0,-4.032001,1.5,-0.04000002,1.929999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.043501,-9,0.47,-1.96,5,0
1,1.216666,0.5000019,0,0.4999995,-1.099997,0,-3.932001,1.5,-0.04000002,1.989999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.043501,-9,0.47,-1.96,5,0
1,1.233333,0.5000019,0,0.4999995,-1.099997,0,-3.832001,1.5,-0.04000002,2.049999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.043501,-9,0.47,-1.96,5,0
1,1.25,0.5000019,0,0.4999995,-1.099997,0,-3.732001,1.5,-0.04000002,2.109999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.043501,-9,0.47,-1.96,5,0
1,1.266666,0.5000019,0,0.4999995,-1.099997,0,-3.632001,1.5,-0.04000002,2.169999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,6.25,5.625,-5.333325,-0.6272725,3.043501,-9,0.47,-1.96,5,0
