Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action
2,0.1833333,-2.1,0,-4.532001,-2.1,0,-4.532001,1.2,-0.04000002,1.03,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.2166667,-2.1,0,-4.532001,-2.1,0,-4.532001,1.2,-0.04000002,1.03,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.2333333,-2.1,0,-4.532001,-2.1,0,-4.532001,1.2,-0.04000002,1.03,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.25,-2.1,0,-4.532001,-2.1,0,-4.532001,1.2,-0.04000002,1.03,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.2666667,-2.1,0,-4.532001,-2.1,0,-4.532001,1.2,-0.04000002,1.03,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.2833334,-2.1,0,-4.532001,-2.1,0,-4.532001,1.2,-0.04000002,1.03,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.3166667,-2,0,-4.532001,-2,0,-4.532001,1.2,-0.04000002,1.09,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.3333334,-1.9,0,-4.532001,-1.9,0,-4.532001,1.2,-0.04000002,1.15,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.3500001,-1.799999,0,-4.532001,-1.799999,0,-4.532001,1.2,-0.04000002,1.21,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.3666668,-1.699999,0,-4.532001,-1.699999,0,-4.532001,1.2,-0.04000002,1.27,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.3833334,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.4166668,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.4333335,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.4500002,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.4666668,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.4833335,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.5166668,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.5333335,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.5500001,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.5666668,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,5
2,0.5833334,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.6166667,-1.499998,0,-4.532001,-1.499998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.6333334,-1.399998,0,-4.532001,-1.399998,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.65,-1.299997,0,-4.532001,-1.299997,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.6666667,-1.199997,0,-4.532001,-1.199997,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4
2,0.6833333,-1.099997,0,-4.532001,-1.099997,0,-4.532001,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,6
